district,state,district_census_code,state_census_code,total,rural,urban,indicator_number,indicator_name,indicator_category,total_filled,rural_filled,urban_filled,total_corrected,rural_corrected,urban_corrected
Budaun,Uttar Pradesh,149,9,3.0,1.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,3.0,1.8,0,3.0,1.8,0
Bareilly,Uttar Pradesh,150,9,6.1,4.9,7.9,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.1,4.9,7.9,6.1,4.9,7.9
Pilibhit,Uttar Pradesh,151,9,4.6,4.7,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,4.6,4.7,0,4.6,4.7,0
Shahjahanpur,Uttar Pradesh,152,9,8.9,6,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.9,6,0,8.9,6,0
Kheri,Uttar Pradesh,153,9,8.1,7.5,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.1,7.5,0,8.1,7.5,0
Sitapur,Uttar Pradesh,154,9,5.6,6.5,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.6,6.5,0,5.6,6.5,0
Hardoi,Uttar Pradesh,155,9,5.2,5.9,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.2,5.9,0,5.2,5.9,0
Unnao,Uttar Pradesh,156,9,6.9,5.4,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.9,5.4,0,6.9,5.4,0
Lucknow,Uttar Pradesh,157,9,7.2,9.6,6.1,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,7.2,9.6,6.1,7.2,9.6,6.1
Rae Bareli,Uttar Pradesh,158,9,8.9,7.6,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.9,7.6,0,8.9,7.6,0
Farrukhabad,Uttar Pradesh,159,9,8.0,9.7,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.0,9.7,0,8.0,9.7,0
Kannauj,Uttar Pradesh,160,9,7.0,8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,7.0,8,0,7.0,8,0
Etawah,Uttar Pradesh,161,9,12.3,14.1,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,12.3,14.1,0,12.3,14.1,0
Auraiya,Uttar Pradesh,162,9,6.7,6.7,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.7,6.7,0,6.7,6.7,0
Kanpur Dehat,Uttar Pradesh,163,9,4.5,3.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,4.5,3.8,0,4.5,3.8,0
Kanpur Nagar,Uttar Pradesh,164,9,7.7,5.9,8.5,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,7.7,5.9,8.5,7.7,5.9,8.5
Jalaun,Uttar Pradesh,165,9,6.8,8.1,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.8,8.1,0,6.8,8.1,0
Jhansi,Uttar Pradesh,166,9,6.4,6.2,6.7,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.4,6.2,6.7,6.4,6.2,6.7
Lalitpur,Uttar Pradesh,167,9,10.6,6.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,10.6,6.8,0,10.6,6.8,0
Hamirpur,Uttar Pradesh,168,9,4.5,3.1,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,4.5,3.1,0,4.5,3.1,0
Mahoba,Uttar Pradesh,169,9,2.7,2.7,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,2.7,2.7,0,2.7,2.7,0
Banda,Uttar Pradesh,170,9,4.5,2.9,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,4.5,2.9,0,4.5,2.9,0
Chitrakoot,Uttar Pradesh,171,9,3.9,3.7,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,3.9,3.7,0,3.9,3.7,0
Fatehpur,Uttar Pradesh,172,9,0.8,0.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,0.8,0.8,0,0.8,0.8,0
Pratapgarh,Uttar Pradesh,173,9,5.2,2.6,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.2,2.6,0,5.2,2.6,0
Kaushambi,Uttar Pradesh,174,9,7.1,5.4,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,7.1,5.4,0,7.1,5.4,0
Allahabad,Uttar Pradesh,175,9,5.7,4,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.7,4,0,5.7,4,0
Bara Banki,Uttar Pradesh,176,9,12.8,14.2,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,12.8,14.2,0,12.8,14.2,0
Faizabad,Uttar Pradesh,177,9,9.1,8.6,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,9.1,8.6,0,9.1,8.6,0
Ambedkar Nagar,Uttar Pradesh,178,9,6.2,7.1,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.2,7.1,0,6.2,7.1,0
Sultanpur,Uttar Pradesh,179,9,6.9,7.5,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.9,7.5,0,6.9,7.5,0
Bahraich,Uttar Pradesh,180,9,8.6,10.3,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.6,10.3,0,8.6,10.3,0
Shrawasti,Uttar Pradesh,181,9,15.5,13.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,15.5,13.8,0,15.5,13.8,0
Balrampur,Uttar Pradesh,182,9,21.2,19.9,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,21.2,19.9,0,21.2,19.9,0
Gonda,Uttar Pradesh,183,9,17.7,18.1,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,17.7,18.1,0,17.7,18.1,0
Siddharthnagar,Uttar Pradesh,184,9,10.0,10,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,10.0,10,0,10.0,10,0
Basti,Uttar Pradesh,185,9,16.0,15.9,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,16.0,15.9,0,16.0,15.9,0
Sant Kabir Nagar,Uttar Pradesh,186,9,13.3,12.3,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,13.3,12.3,0,13.3,12.3,0
Maharajganj,Uttar Pradesh,187,9,9.6,10.6,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,9.6,10.6,0,9.6,10.6,0
Gorakhpur,Uttar Pradesh,188,9,11.8,9.2,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,11.8,9.2,0,11.8,9.2,0
Kushinagar,Uttar Pradesh,189,9,12.5,12.4,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,12.5,12.4,0,12.5,12.4,0
Deoria,Uttar Pradesh,190,9,16.5,17.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,16.5,17.8,0,16.5,17.8,0
Azamgarh,Uttar Pradesh,191,9,7.6,6.6,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,7.6,6.6,0,7.6,6.6,0
Mau,Uttar Pradesh,192,9,5.8,1.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.8,1.8,0,5.8,1.8,0
Ballia,Uttar Pradesh,193,9,8.6,10,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.6,10,0,8.6,10,0
Jaunpur,Uttar Pradesh,194,9,8.2,6.3,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.2,6.3,0,8.2,6.3,0
Ghazipur,Uttar Pradesh,195,9,9.7,10.3,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,9.7,10.3,0,9.7,10.3,0
Chandauli,Uttar Pradesh,196,9,10.0,8.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,10.0,8.8,0,10.0,8.8,0
Varanasi,Uttar Pradesh,197,9,5.4,4,7,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.4,4,7,5.4,4,7
Sant Ravidas Nagar,Uttar Pradesh,198,9,5.8,5.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.8,5.8,0,5.8,5.8,0
Mirzapur,Uttar Pradesh,199,9,5.4,4.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.4,4.8,0,5.4,4.8,0
Sonbhadra,Uttar Pradesh,200,9,7.2,6.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,7.2,6.8,0,7.2,6.8,0
Etah,Uttar Pradesh,201,9,6.9,6.4,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.9,6.4,0,6.9,6.4,0
Kanshiram Nagar,Uttar Pradesh,202,9,5.7,5.1,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.7,5.1,0,5.7,5.1,0
Pashchim Champaran,Bihar,203,10,13.5,7.7,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,13.5,7.7,0,13.5,7.7,0
Purba Champaran,Bihar,204,10,6.4,7.6,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.4,7.6,0,6.4,7.6,0
Sheohar,Bihar,205,10,2.1,2.3,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,2.1,2.3,0,2.1,2.3,0
Sitamarhi,Bihar,206,10,6.2,5.9,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.2,5.9,0,6.2,5.9,0
Madhubani,Bihar,207,10,6.9,7.4,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.9,7.4,0,6.9,7.4,0
Supaul,Bihar,208,10,3.3,3.4,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,3.3,3.4,0,3.3,3.4,0
Araria,Bihar,209,10,5.8,6.1,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.8,6.1,0,5.8,6.1,0
Kishanganj,Bihar,210,10,9.2,7.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,9.2,7.8,0,9.2,7.8,0
Purnia,Bihar,211,10,6.9,5.6,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.9,5.6,0,6.9,5.6,0
Katihar,Bihar,212,10,5.6,5.7,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.6,5.7,0,5.6,5.7,0
Madhepura,Bihar,213,10,6.6,5.1,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.6,5.1,0,6.6,5.1,0
Saharsa,Bihar,214,10,8.8,8.9,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.8,8.9,0,8.8,8.9,0
Darbhanga,Bihar,215,10,9.6,6.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,9.6,6.8,0,9.6,6.8,0
Muzaffarpur,Bihar,216,10,8.3,8.6,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.3,8.6,0,8.3,8.6,0
Gopalganj,Bihar,217,10,6.0,6.2,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.0,6.2,0,6.0,6.2,0
Siwan,Bihar,218,10,9.3,8.1,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,9.3,8.1,0,9.3,8.1,0
Saran,Bihar,219,10,6.0,7.1,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.0,7.1,0,6.0,7.1,0
Vaishali,Bihar,220,10,7.6,7.9,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,7.6,7.9,0,7.6,7.9,0
Samastipur,Bihar,221,10,11.1,9.9,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,11.1,9.9,0,11.1,9.9,0
Begusarai,Bihar,222,10,7.5,9.6,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,7.5,9.6,0,7.5,9.6,0
Khagaria,Bihar,223,10,5.1,4.2,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.1,4.2,0,5.1,4.2,0
Bhagalpur,Bihar,224,10,7.4,4.7,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,7.4,4.7,0,7.4,4.7,0
Banka,Bihar,225,10,5.6,5,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.6,5,0,5.6,5,0
Munger,Bihar,226,10,6.0,3.9,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,6.0,3.9,0,6.0,3.9,0
Lakhisarai,Bihar,227,10,8.4,5.4,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.4,5.4,0,8.4,5.4,0
Sheikhpura,Bihar,228,10,9.0,10.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,9.0,10.8,0,9.0,10.8,0
Nalanda,Bihar,229,10,8.7,7.4,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.7,7.4,0,8.7,7.4,0
Patna,Bihar,230,10,8.5,8.1,8.9,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.5,8.1,8.9,8.5,8.1,8.9
Bhojpur,Bihar,231,10,8.0,10.2,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.0,10.2,0,8.0,10.2,0
Buxar,Bihar,232,10,8.9,7.7,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.9,7.7,0,8.9,7.7,0
Kaimur,Bihar,233,10,5.9,5.6,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.9,5.6,0,5.9,5.6,0
Rohtas,Bihar,234,10,9.3,8.2,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,9.3,8.2,0,9.3,8.2,0
Aurangabad,Bihar,235,10,3.5,4.2,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,3.5,4.2,0,3.5,4.2,0
Gaya,Bihar,236,10,8.4,8.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.4,8.8,0,8.4,8.8,0
Nawada,Bihar,237,10,3.9,4.7,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,3.9,4.7,0,3.9,4.7,0
Jamui,Bihar,238,10,5.8,5.3,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.8,5.3,0,5.8,5.3,0
Jehanabad,Bihar,239,10,9.6,7.6,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,9.6,7.6,0,9.6,7.6,0
Arwal,Bihar,240,10,3.2,3.1,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,3.2,3.1,0,3.2,3.1,0
North District,Sikkim,241,11,21.1,22,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,21.1,22,0,21.1,22,0
West District,Sikkim,242,11,19.7,19.7,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,19.7,19.7,0,19.7,19.7,0
South District,Sikkim,243,11,-19.9,*,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,-19.9,*,0,19.9,0,0
East District,Sikkim,244,11,19.4,22.4,17,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,19.4,22.4,17,19.4,22.4,17
Tawang,Arunachal Pradesh,245,12,22.1,22.3,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,22.1,22.3,0,22.1,22.3,0
West Kameng,Arunachal Pradesh,246,12,25.4,25.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,25.4,25.8,0,25.4,25.8,0
East Kameng,Arunachal Pradesh,247,12,10.6,14.9,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,10.6,14.9,0,10.6,14.9,0
Papumpare,Arunachal Pradesh,248,12,14.2,12.5,15.2,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,14.2,12.5,15.2,14.2,12.5,15.2
Upper Subansiri,Arunachal Pradesh,249,12,17.9,19.3,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,17.9,19.3,0,17.9,19.3,0
West Siang,Arunachal Pradesh,250,12,22.9,23.6,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,22.9,23.6,0,22.9,23.6,0
East Siang,Arunachal Pradesh,251,12,24.0,27.9,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,24.0,27.9,0,24.0,27.9,0
Upper Siang,Arunachal Pradesh,252,12,13.8,11.9,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,13.8,11.9,0,13.8,11.9,0
Changlang,Arunachal Pradesh,253,12,9.5,11.3,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,9.5,11.3,0,9.5,11.3,0
Tirap,Arunachal Pradesh,254,12,8.9,9.9,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.9,9.9,0,8.9,9.9,0
Lower Subansiri,Arunachal Pradesh,255,12,19.8,19.3,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,19.8,19.3,0,19.8,19.3,0
Kurung Kumey,Arunachal Pradesh,256,12,14.3,14.4,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,14.3,14.4,0,14.3,14.4,0
Dibang Valley,Arunachal Pradesh,257,12,22.3,22.3,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,22.3,22.3,0,22.3,22.3,0
Lower Dibang Valley,Arunachal Pradesh,258,12,15.0,14.3,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,15.0,14.3,0,15.0,14.3,0
Lohit,Arunachal Pradesh,259,12,13.9,15.1,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,13.9,15.1,0,13.9,15.1,0
Anjaw,Arunachal Pradesh,260,12,24.1,23.4,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,24.1,23.4,0,24.1,23.4,0
Mon,Nagaland,261,13,4.6,2.8,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,4.6,2.8,0,4.6,2.8,0
Mokokchung,Nagaland,262,13,19.7,-22.5,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,19.7,-22.5,0,19.7,22.5,0
Zunheboto,Nagaland,263,13,15.8,12.3,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,15.8,12.3,0,15.8,12.3,0
Wokha,Nagaland,264,13,18.6,-12.7,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,18.6,-12.7,0,18.6,12.7,0
Dimapur,Nagaland,265,13,18.5,17.4,19.4,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,18.5,17.4,19.4,18.5,17.4,19.4
Phek,Nagaland,266,13,17.4,13.5,,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,17.4,13.5,0,17.4,13.5,0
